Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Imported Mushroom Brown 250g (Approx),250 g,"1,250",,In stock,Fresh Products,Naheed
Imported Mushroom 250g (Approx),250 g,"1,250",,In stock,Fresh Products,Naheed
Imported Blueberry 125g (Approx),125 g,"1,250",,In stock,Fresh Products,Naheed
Iceberg Local 500g,500 g,260,,In stock,Fresh Products,Naheed
Garlic (Lehsan) Peled Local 250g,250 g,120,,In stock,Fresh Products,Naheed
Peas (Mutter) Local 500g,500 g,180,,In stock,Fresh Products,Naheed
French Beans Local 500g,500 g,280,,In stock,Fresh Products,Naheed
Okra (Bhindi) Local 500g,500 g,110,,In stock,Fresh Products,Naheed
Sweet Corn Local 1-Piece,,25,,In stock,Fresh Products,Naheed
Long Brinjal (Baingan) Local 500g,500 g,70,,In stock,Fresh Products,Naheed
Round Brinjal (Baingan) Local 500g,500 g,50,,In stock,Fresh Products,Naheed
Turai Local 500g,500 g,60,,In stock,Fresh Products,Naheed
Zuchini (Ghea Toree) Local 500g,500 g,80,,In stock,Fresh Products,Naheed
Bitter Gourd (Karela) Local 500g,500 g,90,,In stock,Fresh Products,Naheed
Cucumber (Kheera) Local 500g,500 g,60,,In stock,Fresh Products,Naheed
Tomato (Tamatar) 1 KG,1 KG,100,,In stock,Fresh Products,Naheed
Lambi Lauki Local 500g,500 g,70,,In stock,Fresh Products,Naheed
Beetroot (Chukandar) Local 250g,250 g,30,,In stock,Fresh Products,Naheed
Cabbage (Gobi) Purple Local Per Piece,,240,,In stock,Fresh Products,Naheed
Cauliflower (Phool Gobi) Local Per Piece,,160,,In stock,Fresh Products,Naheed
Cabbage (Gobi) Local Per Piece,,40,,In stock,Fresh Products,Naheed
Capsicum (Shimlaa) Local 250g,250 g,50,,In stock,Fresh Products,Naheed
Lemon (Leemun) Local 300g,300 g,130,,In stock,Fresh Products,Naheed
Malir Chilli (Mirchi) Local 250g,250 g,70,,In stock,Fresh Products,Naheed
German Chilli (Mirchi) Local 250g,250 g,85,,In stock,Fresh Products,Naheed
Moro Chilli (Mirchi) Local 250g,250 g,70,,In stock,Fresh Products,Naheed
Green Onion (Pyaaz) 250g,250 g,60,,In stock,Fresh Products,Naheed
White Onion (Pyaaz) 1 KG,1 KG,380,,In stock,Fresh Products,Naheed
Onion (Pyaaz) 1 KG,1 KG,90,,In stock,Fresh Products,Naheed
Potato (Aloo) 1 KG,1 KG,90,,In stock,Fresh Products,Naheed
Celery (Ajwain) Local 1-Bunch,,230,,In stock,Fresh Products,Naheed
Mint Leaves (Pudina) Local 1-Bunch,,20,,In stock,Fresh Products,Naheed
Coriander (Dhania) Leaves Local 1-Bunch,,30,,In stock,Fresh Products,Naheed
Curry Leaves (Kari Patta) Local 1-Bunch,,30,,In stock,Fresh Products,Naheed
"Fresh Basket Curly Kale, Local, 80g (Approx)",80 g,340,,In stock,Fresh Products,Naheed
Rocket Leaves Local 80g (Approx),80 g,140,,In stock,Fresh Products,Naheed
Basil (Tulsi) Leaves Local 80g (Approx),80 g,120,,In stock,Fresh Products,Naheed
Watermelon Local Per Piece,,960,,In stock,Fresh Products,Naheed
Coconut Local 1-Piece,,580,,In stock,Fresh Products,Naheed
Chikoo (Sapodilla) Local 500g,500 g,180,,In stock,Fresh Products,Naheed
Apple Irani 1 KG,1 KG,660,,In stock,Fresh Products,Naheed
Grapefruit Local 1 Piece,1 Piece,160,,In stock,Fresh Products,Naheed
Banana Local 1-Dozen,,390,,In stock,Fresh Products,Naheed
"Dawn Doughstory Roghni Naan 3-Pack, 450g",450 g,390,,In stock,Frozen Food,Naheed
"Dawn Doughstory Tandoori Naan 5-Pack, 425g",425 g,265,,In stock,Frozen Food,Naheed
"Dawn Doughstory Sheermal 3-Pack, 540g",540 g,375,,In stock,Frozen Food,Naheed
"Dawn Doughstory Lachha Paratha 4-Pack, 400g",400 g,240,,In stock,Frozen Food,Naheed
"Dawn Doughstory Pizza Base, 9 Inches, 1-Pack, 220g",9 Inches,150,,In stock,Frozen Food,Naheed
Mon Salwa Hash Brown Potato Patties 600gm 8`s,600 gm,499,,In stock,Frozen Food,Naheed
Igloo Ice Cream Cake,,"1,200",,In stock,Frozen Food,Naheed
Karachi Delight Lachha Chai Paratha 5`s 500gm,500 gm,310,,In stock,Frozen Food,Naheed
Karachi Delight Plain Paratha 20 Pieces,20 Pieces,650,,In stock,Frozen Food,Naheed
Karachi Delight Puri 10`s 400gm,400 gm,215,,In stock,Frozen Food,Naheed
Karachi Delight Aloo Bun Kabab 6 Pieces,6 Pieces,510,,In stock,Frozen Food,Naheed
Karachi Delight Onion Paratha 5 Pieces,5 Pieces,220,,In stock,Frozen Food,Naheed
Karachi Delight Tandoori Nan 5`s 425gm,425 gm,210,,In stock,Frozen Food,Naheed
Karachi Delight Garlic Nan 5 Pieces,5 Pieces,230,,In stock,Frozen Food,Naheed
Karachi Delight Potato Paratha 3`s 360gm,360 gm,220,,In stock,Frozen Food,Naheed
Karachi Delight Bun Kabab From Burns Road 6 Pieces,6 Pieces,585,,In stock,Frozen Food,Naheed
Karachi Delight Tandoori Naan Family Pack 16`s 1360gm,1360 gm,585,,In stock,Frozen Food,Naheed
Karachi Delight Plain Paratha 5`s 400gm,400 gm,190,,In stock,Frozen Food,Naheed
"Dawn Chicken Crispy Fillets, 8-Pack, 920g",920 g,"1,750",,In stock,Frozen Food,Naheed
"Dawn Doughstory Samosa Sheets, 325g",325 g,225,,In stock,Frozen Food,Naheed
"Dawn Doughstory Spring Roll Pastry, 8 x 8 Inches, 25-Pack",8 x,300,,In stock,Frozen Food,Naheed
"Dawn Chicken Shots, 1000g",1000 g,"1,575",,In stock,Frozen Food,Naheed
"Dawn Chicken Seekh Kabab, Family Pack 33-Pack, 990g",990 g,"1,925",,In stock,Frozen Food,Naheed
"Lar Gro Tilapia Fish Fillet, 1 KG",1 KG,"1,650",,In stock,Frozen Food,Naheed
"Mon Salwa Halwa Puri, 4-Pack, 400g",400 g,295,,In stock,Frozen Food,Naheed
"Mon Salwa Bun Kabab Street Style, 450g",450 g,872,,In stock,Frozen Food,Naheed
"K&N's Kabab Tikki, 29-32 Pieces, 648g",32 Pieces,"1,200",,In stock,Frozen Food,Naheed
"Dawn Puff Pastry Sheets, 400gm, 10-Pack",400 gm,250,,In stock,Frozen Food,Naheed
"Fresh Street French Fries Crinkle, 2.5 KG",2.5 KG,"2,650",,In stock,Frozen Food,Naheed
Fresh Street French Fries Shoestring 2.5KG,2.5 KG,"2,650",,In stock,Frozen Food,Naheed
"Fresh Street French Fries, Straight, 9x9mm, 2.5Kg",9 x,"2,650",,In stock,Frozen Food,Naheed
"Midamar Roast Beef, 227g",227 g,Special Price,,In stock,Frozen Food,Naheed
"Midamar All Beef Perperoni, 2.27k",2.27 k,Special Price,,In stock,Frozen Food,Naheed
"Midamar Beef Pastrami, 227g",227 g,Special Price,,In stock,Frozen Food,Naheed
"Midamar Turkey Breast, 227g",227 g,Special Price,,In stock,Frozen Food,Naheed
"Fresh Street Frozen Fruit Of The Forest, 450g",450 g,"2,250",,In stock,Frozen Food,Naheed
"Fresh Street Frozen Blueberries, 450g",450 g,"2,250",,In stock,Frozen Food,Naheed
"Fresh Street Frozen Strawberries, 450g",450 g,"1,050",,In stock,Frozen Food,Naheed
"Fresh Street Garden Peas, 450g",450 g,390,,In stock,Frozen Food,Naheed
"Fresh Street Sweet Corn, 450g",450 g,450,,In stock,Frozen Food,Naheed
"Fresh Street Broccoli, 450g",450 g,475,,In stock,Frozen Food,Naheed
"Fresh Street Mixed Vegetables, 450g",450 g,390,,In stock,Frozen Food,Naheed
"Fresh Street French Fries, Shoestring, 6x6mm, 1000g",6 x,"1,090",,In stock,Frozen Food,Naheed
"Fresh Street French Fries, Straight, 9x9mm, 1000g",9 x,"1,090",,In stock,Frozen Food,Naheed
"Fresh Street French Fries, Crinkle, 1000g",1000 g,"1,090",,In stock,Frozen Food,Naheed
"Zahrat Al Bahar Peeled Shrimps, Super Jumbo, 750g",750 g,"2,300",,In stock,Frozen Food,Naheed
"Zahrat Al Bahar Peeled Shrimps, Jumbo, 750g",750 g,"2,300",,In stock,Frozen Food,Naheed
"The Waffle Witch Brussels Waffles, Sugar-Free,12-Pack",,900,,In stock,Frozen Food,Naheed
"PK Chicken Burger Patties, 700g, 14 Pieces",700 g,875,,In stock,Frozen Food,Naheed
"Frizzle Roll Patti, 25-Pack, 450g",450 g,220,,In stock,Frozen Food,Naheed
"MonSalwa Samosa Patti Leaves, 67-Pack, 400g",400 g,215,,In stock,Frozen Food,Naheed
"Shahbaz Shahi Batair, Frozen, 6-Pack",,600,,In stock,Frozen Food,Naheed
"Sabroso Tenderlicious Chicken Breast, 5 Pieces, 500g",5 Pieces,650,,In stock,Frozen Food,Naheed
"Sabroso Chicken Kachori, 8 Pieces, 480g",8 Pieces,585,,In stock,Frozen Food,Naheed
"Mezban Tandoori Naan, 5 Pieces, 500g",5 Pieces,245,,In stock,Frozen Food,Naheed
"Menu Plain Paratha, 30 Pieces",30 Pieces,"1,170",,In stock,Frozen Food,Naheed
"Khatir Tawaza Plain Paratha, 20 Pieces, Family Pack",20 Pieces,760,,In stock,Frozen Food,Naheed
"Big Bird Chicken Seekh Kabab, 18 Pieces, 540g",18 Pieces,"1,070",,In stock,Frozen Food,Naheed
"Sabroso Aqua Buddies, Economy Pack, 33-35 Pieces, 780g",35 Pieces,"1,000",,In stock,Frozen Food,Naheed
"Sabroso Chicorn Fries, 38-40 Pieces, 760g",40 Pieces,950,,In stock,Frozen Food,Naheed
"Mezban Roghni Kulcha, 5 Pieces, 500g",5 Pieces,260,,In stock,Frozen Food,Naheed
"Menu Gola Kabab, 660g",660 g,"1,252",,In stock,Frozen Food,Naheed
"Big Bird Chicken Chips, 40 Pieces, 920g",40 Pieces,"1,490",,In stock,Frozen Food,Naheed
