Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
National Mixed Fruit Chunky Jam 385gm,385 gm,540,486,In stock,Breakfast food & cereals,QNE
National Strawberry Bliss Chunky Jam 385gm,385 gm,650,584,In stock,Breakfast food & cereals,QNE
National Mango Jam 440 gm,440 gm,253,,In stock,Breakfast food & cereals,QNE
National Mango Magic Chunky Jam 385gm,385 gm,540,486,In stock,Breakfast food & cereals,QNE
Fauji Cereal Choco Cups 150G,150 G,335,,In stock,Breakfast food & cereals,QNE
Nestle Koko Krunch Cereals 150 gm,150 gm,730,,In stock,Breakfast food & cereals,QNE
Youngs French Chicken Spread 200 ml,200 ml,285,,In stock,Breakfast food & cereals,QNE
National Strawberry Jam Jar 440gm,440 gm,278,,In stock,Breakfast food & cereals,QNE
Langnese Black Forest Honey 500 gm,500 gm,"2,585","2,575",In stock,Breakfast food & cereals,QNE
Langnese Black Forest Honey 250 gm,250 gm,"1,225","1,100",In stock,Breakfast food & cereals,QNE
National Apple Jam 440 gm,440 gm,264,,In stock,Breakfast food & cereals,QNE
Happy Home Jelly Cryetals Orange 80 gm,80 gm,100,,In stock,Breakfast food & cereals,QNE
Quaker Quick Cooking White Oats 500g,500 g,595,,In stock,Breakfast food & cereals,QNE
Fauji Wheat Porridge 250 gm,250 gm,185,175,In stock,Breakfast food & cereals,QNE
Happy Home Jelly Crystals Strawberry 80gm,80 gm,100,,In stock,Breakfast food & cereals,QNE
Fauji Barley Porridge 175G,175 G,195,168,In stock,Breakfast food & cereals,QNE
Nestle Milo Cereal 15gm  Sachet,15 gm,15,,In stock,Breakfast food & cereals,QNE
Happy Home Jelly Cryetals Banana 80 gm,80 gm,100,,In stock,Breakfast food & cereals,QNE
Youngs Honey 250G Glass,250 G,335,329,In stock,Breakfast food & cereals,QNE
Nutella Chocolate Spread 350 gm,350 gm,769,759,In stock,Breakfast food & cereals,QNE
Youngs French Chicken Spread 1 Litre Pouch,1 Litre,935,925,In stock,Breakfast food & cereals,QNE
Young's Choco Bliss Chocolate Spread 300 gm,300 gm,500,,In stock,Breakfast food & cereals,QNE
Nutella Chocolate Spread Jar 630gm,630 gm,"1,960","1,949",In stock,Breakfast food & cereals,QNE
Fauji Corn Flakes 500 gm,500 gm,580,570,In stock,Breakfast food & cereals,QNE
Dawn Cake Rusk,,113,103,Out of stock,Breakfast food & cereals,QNE
Nestle Koko Krunch Cereals 330 gm,330 gm,700,690,Out of stock,Breakfast food & cereals,QNE
