Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Topfer Crunchy Stick Creamy Chocolate 40G,40 G,155,,In stock,Snacks & Confectionary > Biscuits & Wafers > Wafers,Imtiaz
Caprice Wafer Rolls With Hazelnut Cream Filling Classic 115G,115 G,749,,In stock,Snacks & Confectionary > Biscuits & Wafers > Wafers,Imtiaz
LU Oreo Biscuit Original Bar Pack 12's Box,,160,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Milco Lu B/P 12's Box,,156,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Oreo Mini Chocolate B/P 12's Box,,105,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Oreo Biscuit Original S/P 6's Box,,269,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Bakeri Bistiks Bar Pack 12's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Peanut Pik Rs15/- S/P 16's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Saltish H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Click H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Biscuit Tuc S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Tuc Bar Pack 12's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Sooper H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Oreo Mini Original B/P 12's Box,,105,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Bakeri Nan Khatai Bar Pack 12's Box,,219,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Bakeri Bistiks S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Bakeri Nan Khatai S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Gala Egg S/P 6's Box,,159,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Gala Egg Mini H/R 12's Box,,105,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Chocolate Prince S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Candi S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Biscuits Zeera Plus S/P 6's Box,,215,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Prince Chocolate F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Candi F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Zeera Plus F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Innovative Zeera H/R Rs.20/- 6's Box,,99,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
INNOVATIVE TOO GUD BSCUT H/R 6'S BX,,99,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Innovative Jumbo Junior Biscuit T/P 24's Box,,99,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Chocolate Prince Mini Finger B/P 12's Box,,105,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Bisconni Cocomo Milk Pouch 90g,90 g,59,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Innovative Butter Crunch H/R Rs.20/- 6's Box,,105,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Innovative Goodies Biscuit Lemon H/R Rs.20/- 6's Box,,99,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Rio Strawberry Vanilla H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Gluco Rs15/-S/P 16's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Sooper S/P Rs15/- 16's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Britannia Biscuits Milk Bikis 90G,90 G,279,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Maliban Smart Cream Cracker 190G,190 G,395,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Maliban Sandwich Biscuit Lemon Puff 100G,100 G,259,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Maliban Sandwich Biscuit Lemon Puff 200G,200 G,485,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Maliban Tangy Cheese Crackers Cheesebits 170G,170 G,755,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Lu Bistiks F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Lu Tuc F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Lu Bakeri Nan Khatai F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Peanut Pik F/P,,86,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Party F/P,,86,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Gluco F/P,,76,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Butter Puff F/P,,76,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Marie F/P,,76,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Lu Gala Egg F/P,,69,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Maliban Biscuits Nice Coconut 200G,200 G,485,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Butter Puff S/P Rs15/- 16'S Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
BISCONNI COCOMO CHOCOLATE RS25 POUCH,25 POUCH,35,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Lotus Biscoff Biscuit S/P 124g,124 g,609,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Bisconni Cocomo Pouch 130g,130 g,59,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
LU Milco Lu S/P 6's Box,,135,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Bisconni Cocomo orange Rs:25 Pouch,25 Pouch,21,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Bisconni Rite F/P,,35,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
